"count"	"track name"	"track mbid"	"artist name"	"artist mbid"	"uncorrected track name"	"uncorrected track mbid"	"uncorrected artist name"	"uncorrected artist mbid"	"album name"	"album mbid"	"album artist name"	"album artist mbid"
"1"	"Attack of the West"	"d59e0539-91be-4bcb-b32f-1a3003826820"	"Jeff van Dyck"	"26a61deb-71b9-4253-9f1e-548fa358e5a9"	"Attack of the West"	"d59e0539-91be-4bcb-b32f-1a3003826820"	"Jeff van Dyck"	"26a61deb-71b9-4253-9f1e-548fa358e5a9"	"The Fall of the Samurai Soundtrack"	""	"Jeff van Dyck"	"26a61deb-71b9-4253-9f1e-548fa358e5a9"
"1"	"P2"	""	"Stephen’s iPhone"	""	"P2"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"1"	"Amazing Grace"	""	"Stephen’s iPhone"	""	"Amazing Grace"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"1"	"Problems"	""	"Stephen’s iPhone"	""	"Problems"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"2"	"Joyce 8"	""	"Stephen’s iPhone"	""	"Joyce 8"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"2"	"Stupid"	""	"Stephen’s iPhone"	""	"Stupid"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"2"	"Joyce 7"	""	"Stephen’s iPhone"	""	"Joyce 7"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"2"	"PPP"	""	"Stephen’s iPhone"	""	"PPP"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"2"	"Toothsmile"	"99f05dd7-f224-45aa-8377-f3131ef2f419"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Toothsmile"	"99f05dd7-f224-45aa-8377-f3131ef2f419"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Shiny Eyed Babies"	"2ee8fc5e-cd3b-4db8-8b6f-136d784e32c0"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"
"3"	"Joyce 9"	""	"Stephen’s iPhone"	""	"Joyce 9"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"3"	"Joyce 1"	""	"Stephen’s iPhone"	""	"Joyce 1"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"3"	"Joyce 6"	""	"Stephen’s iPhone"	""	"Joyce 6"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"4"	"Stuff"	""	"Stephen’s iPhone"	""	"Stuff"	""	"Stephen’s iPhone"	""	"Voice Memos"	""	"Stephen’s iPhone"	""
"4"	"Battle Creek"	"93ab8198-b58d-48f5-9f16-5e0d862c7a20"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Battle Creek"	"93ab8198-b58d-48f5-9f16-5e0d862c7a20"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Shiny Eyed Babies"	"2ee8fc5e-cd3b-4db8-8b6f-136d784e32c0"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"
"4"	"Being Human"	"b42ea5cf-6780-4f45-8e0e-518f54fe25ff"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Being Human"	"b42ea5cf-6780-4f45-8e0e-518f54fe25ff"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"	"Shiny Eyed Babies"	"2ee8fc5e-cd3b-4db8-8b6f-136d784e32c0"	"Bent Knee"	"0a6f98fb-4134-4e0b-bfc2-d9f1e59a8ee6"
