"","V1","V2"
"1","Heitor Villa-Lobos","Einojuhani Rautavaara"
"2","The Ink Spots","Tex Beneke"
"3","Tennessee Ernie Ford","The McGuire Sisters"
"4","Lesley Gore","Mama Cass"
"5","Lesley Gore","Petula Clark"
"6","Lesley Gore","The Archies"
"7","Lesley Gore","The Cyrkle"
"8","Lesley Gore","The Lovin' Spoonful"
"9","Lesley Gore","Andy Williams"
"10","Lesley Gore","Frankie Valli"
"11","Lesley Gore","Nancy Sinatra"
"12","Lesley Gore","The Animals"
"13","Lesley Gore","The Mamas & the Papas"
"14","Lesley Gore","Billy Stewart"
"15","Lesley Gore","Oliver"
"16","Lesley Gore","Shocking Blue"
"17","Lesley Gore","The Shadows"
"18","Lesley Gore","The Rolling Stones"
"19","Lesley Gore","The Ventures"
"20","Lesley Gore","The Doors"
"21","Lesley Gore","The McGuire Sisters"
"22","Mama Cass","Petula Clark"
"23","Mama Cass","The Archies"
"24","Mama Cass","The Cyrkle"
"25","Mama Cass","The Lovin' Spoonful"
"26","Mama Cass","Andy Williams"
"27","Mama Cass","Frankie Valli"
"28","Mama Cass","Nancy Sinatra"
"29","Mama Cass","The Animals"
"30","Mama Cass","The Mamas & the Papas"
"31","Mama Cass","Billy Stewart"
"32","Mama Cass","Oliver"
"33","Mama Cass","Shocking Blue"
"34","Mama Cass","The Shadows"
"35","Mama Cass","The Rolling Stones"
"36","Mama Cass","The Ventures"
"37","Mama Cass","The Doors"
"38","Mama Cass","The McGuire Sisters"
"39","Petula Clark","The Archies"
"40","Petula Clark","The Cyrkle"
"41","Petula Clark","The Lovin' Spoonful"
"42","Petula Clark","Andy Williams"
"43","Petula Clark","Frankie Valli"
"44","Petula Clark","Nancy Sinatra"
"45","Petula Clark","The Animals"
"46","Petula Clark","The Mamas & the Papas"
"47","Petula Clark","Billy Stewart"
"48","Petula Clark","Oliver"
"49","Petula Clark","Shocking Blue"
"50","Petula Clark","The Shadows"
"51","Petula Clark","The Rolling Stones"
"52","Petula Clark","The Ventures"
"53","Petula Clark","The Doors"
"54","Petula Clark","The McGuire Sisters"
"55","The Archies","The Cyrkle"
"56","The Archies","The Lovin' Spoonful"
"57","The Archies","Andy Williams"
"58","The Archies","Frankie Valli"
"59","The Archies","Nancy Sinatra"
"60","The Archies","The Animals"
"61","The Archies","The Mamas & the Papas"
"62","The Archies","Billy Stewart"
"63","The Archies","Oliver"
"64","The Archies","Shocking Blue"
"65","The Archies","The Shadows"
"66","The Archies","The Rolling Stones"
"67","The Archies","The Ventures"
"68","The Archies","The Doors"
"69","The Archies","The McGuire Sisters"
"70","The Cyrkle","The Lovin' Spoonful"
"71","The Cyrkle","Andy Williams"
"72","The Cyrkle","Frankie Valli"
"73","The Cyrkle","Nancy Sinatra"
"74","The Cyrkle","The Animals"
"75","The Cyrkle","The Mamas & the Papas"
"76","The Cyrkle","Billy Stewart"
"77","The Cyrkle","Oliver"
"78","The Cyrkle","Shocking Blue"
"79","The Cyrkle","The Shadows"
"80","The Cyrkle","The Rolling Stones"
"81","The Cyrkle","The Ventures"
"82","The Cyrkle","The Doors"
"83","The Cyrkle","The McGuire Sisters"
"84","The Lovin' Spoonful","Andy Williams"
"85","The Lovin' Spoonful","Frankie Valli"
"86","The Lovin' Spoonful","Nancy Sinatra"
