"LN","Artist","Count","Tag 1","Tag 2","Tag 3","Tag 4","Tag 5"
"1","::M∆DE::IN::HEIGHTS::","8","electronic","trip-hop","downtempo","witch house","mythical filth pop"
"2","311","2","alternative","rock","alternative rock","reggae","ska"
"3","65daysofstatic","3","post-rock","instrumental","experimental","math rock","electronic"
"4","A Certain Ratio","4","post-punk","new wave","manchester","80s","post punk"
"5","A Flock of Seagulls","5","new wave","80s","synthpop","new romantic","pop"
"6","A Tribe Called Quest","5","hip-hop","rap","hip hop","jazz hop","funk"
"7","AC/DC","8","library"," "," "," "," "
"8","Afrojack","5","house","electro house","progressive house","electronic","electro"
"9","Alex Torres","3","salsa"," "," "," "," "
"10","Alex Torres & His Latin Orchestra","4","latin"," "," "," "," "
"11","Alexander Scriabin","16","classical","romantic","piano","russian","composer"
"12","Algiers","24","post-punk","indie","schlau machen","noise rock","industrial rock"
"13","Alirio Díaz","6","classical guitar","venezuela","guitarra clasica","larense","folclorica"
"14","All Them Witches","21","stoner rock","psychedelic rock","psychedelic","blues rock","garage rock"
"15","Amanda Palmer","4","punk cabaret","female vocalists","piano","singer-songwriter","alternative"
"16","Andrew Norman","1","ambient"," "," "," "," "
"17","Andy Williams","8","oldies","60s","easy listening","pop","male vocalists"
"18","Angelo Badalamenti","4","soundtrack","ambient","instrumental","jazz","chillout"
"19","Animal Collective","10","experimental","indie","freak folk","folk","indie rock"
"20","Annette Hanshaw","6","jazz","female vocalists","1920s","20s","oldies"
"21","Antônio Carlos Jobim","12","bossa nova","jazz","brazilian","mpb","latin"
"22","Aperture Science Psychoacoustics Laboratory","17","soundtrack","electronic","ambient","experimental","portal"
"23","Approaching Nirvana","1","electronic","trance","indie","approaching nirvana","pop"
"24","Arab Strap","5","indie","indie rock","post-rock","scottish","slowcore"
"25","Arctic Monkeys","9","indie rock","indie","british","rock","alternative"
"26","Ariel","15","heavy metal","avant-prog","hard rock","classic rock","progressive rock"
"27","Arthur Calkin","1"," "," "," "," "," "
"28","Artie Shaw and His New Music","8","jazz","all","tsf"," "," "
"29","Astor Piazzolla","3","tango","jazz","argentina","tango nuevo","contemporary classical"
"30","Astronautalis","10","hip-hop","indie","experimental hip-hop","experimental","underground hip hop"
"31","Atlas Genius","4","indie rock","electronic","indie","synthpop","australian"
"32","Avenged Sevenfold","13","metalcore","metal","hard rock","hardcore","rock"
"33","AWOLNATION","7","electronic","indie","alternative","indie rock","rock"
"34","Band of Skulls","2","rock","indie","alternative","british","blues"
"35","Banks","8","electronic","downtempo","female vocalists","pop","indie"
"36","Ben Folds","3","singer-songwriter","indie","piano rock","alternative","rock"
"37","Bent Knee","20","progressive rock","alternative rock","indie rock","alternative","post-progressive"
"38","Beware of Darkness","9","indie rock","alternative","blues rock","alternative rock","rock"
"39","Bill Elm and Woody Jackson","4","video game music","soundtrack","western","red dead redemption","video game"
"40","Bill Withers","4","soul","funk","70s","rhythm and blues","rnb"
"41","Billie Holiday","14","jazz","blues","female vocalists","jazz vocal","vocal jazz"
